地中海美食,NT$100-200,義大利麵、燉飯,西式,聚會適合,有冷氣、飲料無限供應
艾絲ice tea,NT$30-70,手搖飲、輕食,台式,快速解決,學生愛店、種類繁多
薩克廚房,NT$100-200,義大利麵,西式,聚會適合,有冷氣、醬汁豐富
早叄早午餐,NT$80-150,早午餐拼盤,西式,聚會適合,有冷氣、擺盤精美
八方雲集,NT$60-120,鍋貼、水餃,台式,快速解決,連鎖品牌、品質穩定
神農美食坊,NT$70-100,便當、快餐,台式,快速解決,便宜大碗、出餐快
蔬芙suitfoodsalad,NT$100-200,健康沙拉、舒肥料理,西式,快速解決,素食友善、低GI飲食
米六里,NT$100-200,定食、飯食,台式,快速解決,有冷氣、環境整潔
牛筋伯爵,NT$150-300,牛肉麵、精緻套餐,台式,聚會適合,有冷氣、湯頭濃郁
ㄎㄎ韓食(ㅋㅋ한식),NT$150-250,韓式拌飯、嫩豆腐鍋,韓式,聚會適合,有冷氣、韓式小菜吃到飽
食凡,NT$150-250,舒肥健康餐,西式,快速解決,有冷氣、食材新鮮
巴豆夭百元美味鍋物,NT$150-250,小火鍋,台式,聚會適合,有冷氣、白飯/冰淇淋/飲料吃到飽
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
餐廳名稱,平均價位,主食類型,料理風格,用餐目的,特色
三米藍,NT$100-200,早午餐、咖哩、炸雞,西式/日式,聚會適合、快速解決,有冷氣、環境文青
花圓巧芋,NT$50-120,芋圓、手工豆花、關東煮,台式,快速解決、宵夜,有冷氣、WiFi、營業至午夜
8鍋,NT$150-250,小火鍋,台式,快速解決、聚會適合,有冷氣、白飯/冰淇淋/飲料吃到飽
咖啡王國-中正店,NT$50-150,咖啡、輕食、三明治,西式,適合讀書、快速解決,有冷氣、有插座、環境安靜
麥香堡,NT$40-100,漢堡、蛋餅、吐司,台式,快速解決 (早餐),價格實惠、學生常客
百田中西式早午餐,NT$50-120,早午餐、中式麵食,台式/西式,快速解決、聚會適合,有冷氣、餐點選擇多樣
誠石火鍋,NT$180-300,小火鍋,台式,聚會適合、快速解決,有冷氣、醬料自助吧、平價鍋物
中正比奇堡,NT$30-100,炸物、飲料、點心,台式,快速解決、宵夜,學生宵夜、目前暫停營業
123活力早餐屋,NT$40-100,漢堡、蛋餅、中式早點,台式,快速解決 (早餐),價格親民、出餐動作快
布格早午餐,NT$80-150,早午餐拼盤、漢堡,西式,聚會適合、快速解決,有冷氣、裝潢明亮舒適
21金小火鍋,NT$150-250,小火鍋,台式,聚會適合、快速解決,有冷氣、分店眾多品質穩定
博多屋台拉麵,NT$120-200,拉麵,日式,快速解決、聚會適合,有冷氣、道地日式風味
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
餐廳名稱,平均價位,主食類型,料理風格,用餐目的,特色
侯記中式早餐,NT$40-100,飯糰、蛋餅、豆漿、饅頭加蛋,台式,快速解決 (早餐),價格親民、大份量、傳統中式早點、學生早餐首選
